pravila|acesta|iaste pravilaacestaiaste immmmmsimmmmsimmms
n-are|păcat|cela n-arepăcatcela immmsimmmsimms
ce-l|va|pîrî|pri-nsul ce-lvapîrîpri-nsul immsisimmsimmmmmms
popii|ceia|ce|vor|avea popiiceiacevoravea immmsimmsisimsimms
o|vrajbă|întru|ei|și|nu ovrajbăîntrueișinu cimmmmsimmmsisisis
se|vor|împăca|ce|va|sluji|așa sevorîmpăcacevaslujiașa isimsimmmmsisisimmmsims
să|se|pocăiască săsepocăiască isisimmmmmmms
4|ai|și|metanii 4aișimetanii cisisimmmmms
100|cum|grăiaște|și|sfîntul 100cumgrăiașteșisfîntul imsimsimmmmmmsisimmmmms
evsevie|amar|de|preotul|cela|ce evsevieamardepreotulcelace immmmmsimmsisimmmmmsimmsis
are|vrajbă|pre|fiecine|și|așa|va arevrajbăprefiecineșiașava imsimmmmsimsimmmmmsisimsis
sluji|preotul|cela|ce slujipreotulcelace immmsimmmmmsimmsis
lui|ce|vine|la|biseareca|lui luicevinelabisearecalui imsisimmsisimmmmmmmsims
vecinul|lui|sau vecinulluisau immmmmsimsims
vro|gîlceavă|deci|acel vrogîlceavădeciacel imsimmmmmmsimmsimms
popă|ce|de|va|fi|oarece popăcedevafioarece immsisisisisimmmms
deală|sau|gîlceavă|înaintea|bisearecii|să-i|întreabe dealăsaugîlceavăînainteabiseareciisă-iîntreabe immmsimsimmmmmmsimmmmmmsimmmmmmmmsimmsimmmmmms
pre|dinșii|preotul predinșiipreotul imsimmmmsimmmmms
înaintea|și|altor|oameni înainteașialtoroameni immmmmmsisimmmsimmmms
și|să-i|înveațe|pre|dinșii șisă-iînveațepredinșii isimmsimmmmmsimsimmmms
întru|dragoste|și|den|dereptare|preot întrudragosteșidendereptarepreot immmsimmmmmmsisimsimmmmmmmsimmms
de|pre|preot|va|învăța|de|bine deprepreotvaînvățadebine isimsimmmsisimmmmsisimms
va|asculta|nu|are|acesta vaascultanuareacesta isimmmmmsisimsimmmms
însuș|să|caute|36|să|neștine|va însușsăcaute36săneștineva immmsisimmmsisisimmmmmsis
lua|dar|ca luadarca imsimsis
să|facă|metanii|cîte-i săfacămetaniicîte-i isimmsimmmmmsimmmms
va|fi|zis|duhovnicu-său|și vafizisduhovnicu-săuși isisimsimmmmmmmmmmmsis
de|nu|le|va|face|pre denulevafacepre isisisisimmsims
însele|la|vreamea|cînd|i|s-au|zis înselelavreameacîndis-auzis immmmsisimmmmmsimmscimmsims
lui|acela|să luiacelasă imsimmmsis
facă|lui|mai|multe facăluimaimulte immsimsimsimmms
preotul|să|nu|mănînce|corastră preotulsănumănîncecorastră immmmmsisisimmmmmsimmmmmms
de|la|vaca|lui|pînă|1 delavacaluipînă1 isisimmsimsimmsc
săptămînă|aşijdirea|şi|toţi|creştinii|de|va săptămînăaşijdireaşitoţicreştiniideva immmmmmmsimmmmmmmsisimmsimmmmmmmsisis
bisearică|sau|porc|să bisearicăsauporcsă immmmmmmsimsimmsis
a|săptămînă|iară|ceia|ce|se asăptămînăiarăceiacese cimmmmmmmsimmsimmsisis
împreunează|preotului|de|vînd|sfînta|ori|în împreuneazăpreotuluidevîndsfîntaoriîn immmmmmmmmsimmmmmmmsisimmsimmmmsimsis
ce|chip|sau cechipsau isimmsims
ceia|ce|cumpără|să ceiacecumpărăsă immsisimmmmmsis
se|judece|pre|aceia|c-aceia sejudecepreaceiac-aceia isimmmmsimsimmmsimmmmms
ce|fură|biseareca|37|cine|se cefurăbiseareca37cinese isimmsimmmmmmmsisimmsis
mîhneaște|de|bună|voia|lui|de|rugăciune mîhneaștedebunăvoialuiderugăciune immmmmmmsisimmsimmsimsisimmmmmmms
şi|de|cîntare şidecîntare isisimmmmms
şi|va|umbla|ca şivaumblaca isisimmmsis
un|dobitoc|să|aibă|acela undobitocsăaibăacela isimmmmmsisimmsimmms
pocaianie|un|an|şi|metanii|100 pocaianieunanşimetanii100 immmmmmmsisisisimmmmmsims
în|zi|38|preotulu|de|va|întra înzi38preotuludevaîntra isisisimmmmmmsisisimmms
şi|va|sluji şivasluji isisimmms
leturghie|fără|de|anthimis leturghiefărădeanthimis immmmmmmsimmsisimmmmmms
sărac|şi|nu|va|avea|pre|ce săracşinuvaaveaprece immmsisisisimmsimsis
cumpăra|iară|episcopul cumpăraiarăepiscopul immmmmsimmsimmmmmmms
se|va|scumpi|acel sevascumpiacel isisimmmmsimms
păcat|iaste|pre|episcopul|şi păcatiastepreepiscopulşi immmsimmmsimsimmmmmmmsis
pre|ţercovnici|de|se|va|priceştui preţercovnicidesevapriceştui imsimmmmmmmmsisisisimmmmmmms
coconul|nebotezat|să|aibă|pocaianie|părinţii|lui coconulnebotezatsăaibăpocaianiepărinţiilui immmmmsimmmmmmmsisimmsimmmmmmmsimmmmmmsims
un|an|şi unanşi isisis
metanii|cîte|50|39 metaniicîte5039 immmmmsimmsisis
muiarea|de|va|naște|în muiareadevanașteîn immmmmsisisimmmsis
de|zile|şi|să|se|priceştuiască|40 dezileşisăsepriceştuiască40 isimmsisisisimmmmmmmmmmmsis
cine|va|cădea cinevacădea immsisimmms
şi|se|va|ucide şisevaucide isisisimmms
de|bună|voia|lui|acesta debunăvoialuiacesta isimmsimmsimsimmmms
să|nu|se|cînte|nice|să sănusecîntenicesă isisisimmmsimmsis
iară|de|va iarădeva immsisis
cădea|de|nevoia|lui cădeadenevoialui immmsisimmmmsims
de|se|va|ucide|şi desevaucideşi isisisimmmsis
va|muri|acesta|să|se|cînte vamuriacestasăsecînte isimmsimmmmsisisimmms
şi|să-i|facă|lui|pamete|iară|cine şisă-ifacăluipameteiarăcine isimmsimmsimsimmmmsimmsimms
va|mearge|la vameargela isimmmmsis
preacurvie|sau|la|curvie preacurviesaulacurvie immmmmmmmsimsisimmmms
sau|la|furtişag|sau|la saulafurtişagsaula imsisimmmmmmsimsis
tîlhărie|iară|într-aceastea|oricumu-l|vor|ucide tîlhărieiarăîntr-aceasteaoricumu-lvorucide immmmmmsimmsimmmmmmmmmmmsimmmmmmmsimsimmms
şi|va|muri|niminea|să|nu-l|cînte şivamurinimineasănu-lcînte isisimmsimmmmmsisimmsimmms
pamete|niminea|să|nu-i pametenimineasănu-i immmmsimmmmmsisimms
facă|41|să|neștine|va facă41săneștineva immsisisimmmmmsis
purta|piiale|de|cal|sau|de purtapiialedecalsaude immmsimmmmsisimsimsis
ce|să|stea cesăstea isisimms
afară|cu|muierile|ce afarăcumuierilece immmsisimmmmmmsis
voinic|va|ieși|la|războiu voinicvaieșilarăzboiu immmmsisimmsisimmmmms
și|se|va|lovi|cu|alt șisevalovicualt isisisimmsisims
supt|dinsul|și suptdinsulși immsimmmmsis
va|să|ia|moarte|de vasăiamoartede isisisimmmmsis
la|dinsul|și|de|va|zice ladinsulșidevazice isimmmmsisisisimms
sînt|pre|voia sîntprevoia immsimsimms
să|se|leapede|de|creștinătate|și săseleapededecreștinătateși isisimmmmmsisimmmmmmmmmmsis
pocaianie|20|de|ai|și|metanii|cîte pocaianie20deaișimetaniicîte immmmmmmsisisisisimmmmmsimms
1000|în|zi 1000înzi immsisis
deci|pentru|că-l|plecași decipentrucă-lplecași immsimmmmsimmsimmmmms
supt|tine|și|întru|voia supttineșiîntruvoia immsimmsisimmmsimms
ta|fu|pentru|ce|ticăloase|-l tafupentruceticăloase-l isisimmmmsisimmmmmmmsis
uciseși|iară|de|va|fi|ucisul|de uciseșiiarădevafiucisulde immmmmsimmsisisisimmmmsis
mai|puținei|ai|să-i maipuțineiaisă-i imsimmmmmsisimms
se|vor|aduna|doi|împărați|cu sevoradunadoiîmpărațicu isimsimmmsimsimmmmmmsis
voin|voinicii|lor|la|războiu|atunce|zice voinvoiniciilorlarăzboiuatuncezice immsimmmmmmsimsisimmmmmsimmmmsimms
scriptura|că|păcatul scripturacăpăcatul immmmmmmsisimmmmms
împăratului|spre|oamenii|lui împăratuluispreoameniilui immmmmmmmmsimmsimmmmmsims
iară|păcatul|oamenilor|lui|spre iarăpăcatuloamenilorluispre immsimmmmmsimmmmmmmsimsimms
împăratul|ce|ferice|de|cela|ce împăratulcefericedecelace immmmmmmsisimmmmsisimmsis
se|va|feri|atunce|să|nu|ucigă sevaferiatuncesănuucigă isisimmsimmmmsisisimmms
nice|să-l|ucigă nicesă-lucigă immsimmsimmms
42|preotul|de-i|vor 42preotulde-ivor isimmmmmsimmsims
mînca|feciorii|lui|prescuri|necîntate mîncafecioriiluiprescurinecîntate immmsimmmmmmsimsimmmmmmsimmmmmmms
sau|colivă|sau|fieşce|ce|se saucolivăsaufieşcecese imsimmmmsimsimmmmsisis
iară|acela|de iarăacelade immsimmmsis
mînca|necîntat|și|neblagoslovit|unii mîncanecîntatșineblagoslovitunii immmsimmmmmmsisimmmmmmmmmmmsimms
ai|şi|metanii|cîte|o|100|sfîntul aişimetaniicîteo100sfîntul isisimmmmmsimmscimsimmmmms
săbor|al|doile săboraldoile immmsisimmms
și|a|toată|lumea șiatoatălumea iscimmmsimmms
43|oarecine|va|veni|den 43oarecinevaveniden isimmmmmmsisimmsims
limbă|spurcată|şi|se|va|boteza limbăspurcatăşisevaboteza immmsimmmmmmsisisisimmmms
după|aceaia|se dupăaceaiase immsimmmmsis
cade|şi|preot|să cadeşipreotsă immsisimmmsis
iară|de|va|fi|episcop|iară iarădevafiepiscopiară immsisisisimmmmmsimms
va|fi|sufletescul|apără vafisufletesculapără isisimmmmmmmmmsimmms
de|preoţie|să|nu|fie depreoţiesănufie isimmmmmsisisims
preot|ce|pre|amăruntul|se|cade preotcepreamăruntulsecade immmsisimsimmmmmmmsisimms
a-ntreba|de|dinsul|de|viiaţa|lui|ce a-ntrebadedinsuldeviiaţaluice immmmmmsisimmmmsisimmmmsimsis
şi|atunce|să-l|facă şiatuncesă-lfacă isimmmmsimmsimms
ce|se|cade|de|creştinătate|bine cesecadedecreştinătatebine isisimmsisimmmmmmmmmmsimms
cu|îndemnarea|dracului cuîndemnareadracului isimmmmmmmmsimmmmmms
iară|va|înceape|în iarăvaînceapeîn immsisimmmmmsis
tocmeala|lui|cea|dentîiu|şi tocmealaluiceadentîiuşi immmmmmsimsimsimmmmmsis
va|piiarde|şi|alţii|cu|dinsul vapiiardeşialţiicudinsul isimmmmmsisimmmsisimmmms
44|preotul|de|va|treace|dentru|cunoștinţii 44preotuldevatreacedentrucunoștinţii isimmmmmsisisimmmmsimmmmsimmmmmmmmms
într-un|oraş|unul|unul|ca într-unoraşunulunulca immmmmsimmsimmsimmsis
acela|să|nu-l|lase|să|slujască acelasănu-llasesăslujască immmsisimmsimmsisimmmmmms
pînă|se|va|auzi|de|dinsul|cum pînăsevaauzidedinsulcum immsisisimmsisimmmmsims
au|fost|viiaţa aufostviiaţa isimmsimmmms
lui|întra|oamenii|lui luiîntraoameniilui imsimmmsimmmmmsims
și|pentru|ce|rînd|iaste șipentrucerîndiaste isimmmmsisimmsimmms
nemearnic|şi|ce|au|făcut|sau nemearnicşiceaufăcutsau immmmmmmsisisisimmmsims
să|aducă|carte|de|la|episcopul|cela săaducăcartedelaepiscopulcela isimmmsimmmsisisimmmmmmmsimms
ce|se-au|preoţit cese-aupreoţit isimmmsimmmmms
sau|să-i|mărturisească|duhovnicu-său sausă-imărturiseascăduhovnicu-său imsimmsimmmmmmmmmmmsimmmmmmmmmmms
de|dinsul|de|va|fi dedinsuldevafi isimmmmsisisis
destoinic|a|sluji|atunce|să|slujască destoinicaslujiatuncesăslujască immmmmmmscimmmsimmmmsisimmmmmms
45|învăţăm|toţi|creştinii|după|sfintele|paști 45învăţămtoţicreştiniidupăsfintelepaști isimmmmmsimmsimmmmmmmsimmsimmmmmmsimmms
într-acea|săptămînă|de într-aceasăptămînăde immmmmmmsimmmmmmmsis
dumineca|thomei|oamenii|mireani|să duminecathomeioameniimireanisă immmmmmsimmmmsimmmmmsimmmmmsis
mănînce|carne|iară|călugării|brînză|și mănîncecarneiarăcălugăriibrînzăși immmmmsimmmsimmsimmmmmmmsimmmmsis
peaște|și|iară|într-altă|săptămînă|de|la peașteșiiarăîntr-altăsăptămînădela immmmsisimmsimmmmmmmsimmmmmmmsisis
rosalii|pînă|la rosaliipînăla immmmmsimmsis
dumineca|mare|aşijderea|să duminecamareaşijdereasă immmmmmsimmsimmmmmmmsis
mănînce|iară|de|la|rojdestvo mănînceiarădelarojdestvo immmmmsimmsisisimmmmmmms
hristovo|pînă|la|blagoiavlenie|și|iară hristovopînălablagoiavlenieșiiară immmmmmsimmsisimmmmmmmmmmmsisimms
den|dumineca|denaintea|lăsării|de|carne|ce denduminecadenaintealăsăriidecarnece imsimmmmmmsimmmmmmmsimmmmmsisimmmsis
într-însă|armenii|ceia într-însăarmeniiceia immmmmmmsimmmmmsimms
ce-s|de|trei|ori ce-sdetreiori immsisimmsims
procleaţi|spurcat|post|se|postesc procleaţispurcatpostsepostesc immmmmmmsimmmmmsimmsisimmmmms
de|trei|ori|blăstemați|arţivurii|procleaţii detreioriblăstemațiarţivuriiprocleaţii isimmsimsimmmmmmmmsimmmmmmmsimmmmmmmms
și|atunce|învăţăm|tot|creștinul|așijderea|să șiatunceînvăţămtotcreștinulașijdereasă isimmmmsimmmmmsimsimmmmmmmsimmmmmmmsis
mănînce|carne|în mănîncecarneîn immmmmsimmmsis
toată|ată|săptămînă|iară toatăatăsăptămînăiară immmsimsimmmmmmmsimms
să|nu|se|postească|cu sănuseposteascăcu isisisimmmmmmmsis
aceia|ce|într-un|chip|gîndesc|cu aceiaceîntr-unchipgîndesccu immmsisimmmmmsimmsimmmmmsis
ereticii|ce|și|miercuri|și|vineri|să ereticiiceșimiercurișivinerisă immmmmmsisisimmmmmmsisimmmmsis
se|mănînce|carne semănîncecarne isimmmmmsimmms
iară|călugării|brînză|şi iarăcălugăriibrînzăşi immsimmmmmmmsimmmmsis
peaște|ca|și|în|cealealalte peaștecașiîncealealalte immmmsisisisimmmmmmmmms
săptămîni|cum|am|zis|iară|lepădaţii săptămînicumamzisiarălepădaţii immmmmmmsimsisimsimmsimmmmmmms
hanzizarii|ce|sînt|armeani|post|fac|atunce hanzizariicesîntarmeanipostfacatunce immmmmmmmsisimmsimmmmmsimmsimsimmmms
și|jîrtvă|într-acea șijîrtvăîntr-acea isimmmmsimmmmmmms
săptămînă|în|toată|unui săptămînăîntoatăunui immmmmmmsisimmmsimms
cîine|oarecăruia|arţivurţii|armenii|derept cîineoarecăruiaarţivurţiiarmeniiderept immmsimmmmmmmmsimmmmmmmmsimmmmmsimmmms
aceaia|nu|se|cade|noao|nice aceaianusecadenoaonice immmmsisisimmsimmsimms
o|zi|a|posti|iară|cine|nu oziapostiiarăcinenu ciscimmmsimmsimmsis
va|asculta|această vaascultaaceastă isimmmmmsimmmmms
tocmeală|a|sfinţiloru|ce tocmealăasfinţiloruce immmmmmscimmmmmmmmsis
va|începe|într-alt|chip|a vaîncepeîntr-altchipa isimmmmsimmmmmmsimmsc
brînzei|așijderea|în|toată|săptămîna|brînzei|să brînzeiașijdereaîntoatăsăptămînabrînzeisă immmmmsimmmmmmmsisimmmsimmmmmmmsimmmmmsis
se|mănînce|brînză semănîncebrînză isimmmmmsimmmms
învaţă|sfîntul|săbor|iară învaţăsfîntulsăboriară immmmsimmmmmsimmmsimms
miercuri|şi|vineri|întru|acea miercurişivineriîntruacea immmmmmsisimmmmsimmmsimms
săptămînă|se|cade|a|cînta|liturghie săptămînăsecadeacîntaliturghie immmmmmmsisimmscimmmsimmmmmmms
preajdeseșteniie|în|9|ceas|de|zi|după preajdeseșteniieîn9ceasdezidupă immmmmmmmmmmmmmsiscimmsisisimms
aceaia|să|mănînce aceaiasămănînce immmmsisimmmmms
brînză|și|oao|pentru brînzășioaopentru immmmsisimsimmmms
ereticul|antonie|şi|savelie|ceia ereticulantonieşisavelieceia immmmmmsimmmmmsisimmmmmsimms
ce|ţin|această|săptămînă|ce|nu ceţinaceastăsăptămînăcenu isimsimmmmmsimmmmmmmsisis
mănîncă|nemică|derept|aceaia|învaţă|sfîntul|și mănîncănemicădereptaceaiaînvaţăsfîntulși immmmmsimmmmsimmmmsimmmmsimmmmsimmmmmsis
marele|săbor|a marelesăbora immmmsimmmsc
toate|lumea|ca|toată toatelumeacatoată immmsimmmsisimmms
acea|săptămînă|toţi|creştinii|cei aceasăptămînătoţicreştiniicei immsimmmmmmmsimmsimmmmmmmsims
derepţi|fără|de|toată|socotinţa|să derepţifărădetoatăsocotinţasă immmmmsimmsisimmmsimmmmmmmsis
mănînce|brînză|şi|oao|încă|mai|vîrtos mănîncebrînzăşioaoîncămaivîrtos immmmmsimmmmsisimsimmsimsimmmms
a|blăste|steamă ablăstesteamă cimmmmsimmmms
pre|cei|de|trei preceidetrei imsimsisimms
ori|lepădaţi|eretici|întîiu|pre orilepădaţiereticiîntîiupre imsimmmmmmsimmmmmsimmmmsims
aria|și|cu|dinsul|nistorii|și ariașicudinsulnistoriiși immsisisimmmmsimmmmmmsis
savelie|şi|theodor|şi|theodota|hulitori|şi savelieşitheodorşitheodotahulitorişi immmmmsisimmmmmsisimmmmmmsimmmmmmsis
bîrfitori|şi|vrajmaşii bîrfitorişivrajmaşii immmmmmmsisimmmmmmms
ioan|a|lu|a|doile ioanaluadoile immsciscimmms
hristosol|şi|deocică|cu|marchionu|şi hristosolşideocicăcumarchionuşi immmmmmmsisimmmmmsisimmmmmmmsis
cu|zosimă|şi|cu|petrusie|aceştia|toţi cuzosimăşicupetrusieaceştiatoţi isimmmmsisisimmmmmmsimmmmmsimms
și|65|de|împărechituri și65deîmpărechituri isisisimmmmmmmmmmms
şi|a|toate|mai|marilor şiatoatemaimarilor iscimmmsimsimmmmms
şi|învățători|și|cîte|petru|şi şiînvățătorișicîtepetruşi isimmmmmmmmsisimmsimmmsis
pavel|den|samosat|şi|machedonie|şi|evtihie paveldensamosatşimachedonieşievtihie immmsimsimmmmmsisimmmmmmmmsisimmmmms
credinţă|cu|dinşii|iară credinţăcudinşiiiară immmmmmsisimmmmsimms
depreună|și|dioscor|şi|severian depreunășidioscorşiseverian immmmmmsisimmmmmsisimmmmmms
şi|pavel|şi|ucenicul|lui|pavlichiian şipavelşiuceniculluipavlichiian isimmmsisimmmmmmsimsimmmmmmmmms
ce|lor|amarul|iaste|mai|vîrtos|de celoramaruliastemaivîrtosde isimsimmmmsimmmsimsimmmmsis
toţi|ereticii|cu toţiereticiicu immsimmmmmmsis
cuvrichii|cum|și|armeanii cuvrichiicumșiarmeanii immmmmmmsimsisimmmmmms
toţi|sfinţii|pre|ogodnici|și|purtătorii toţisfinţiipreogodnicișipurtătorii immsimmmmmsimsimmmmmmsisimmmmmmmms
de|dumnezeu|părinţii|noştri|făcură|săbor|mare dedumnezeupărinţiinoştrifăcurăsăbormare isimmmmmmsimmmmmmsimmmmsimmmmsimmmsimms
dentru|toată|lumea dentrutoatălumea immmmsimmmsimmms
întru|în|cetatea|cea întruîncetateacea immmsisimmmmmsims
mare|a|lu|costandin|şi marealucostandinşi immscisimmmmmmmsis
întru|cetate|despre|răsărit|iară|întru întrucetatedesprerăsăritiarăîntru immmsimmmmsimmmmsimmmmmsimmsimmms
nichei|şi|în|efes|şi|în|halchidon nicheişiînefesşiînhalchidon immmmsisisimmsisisimmmmmmms
iară|depreună|cu iarădepreunăcu immsimmmmmmsis
împăraţii|cei|creştini|buni împăraţiiceicreştinibuni immmmmmmsimsimmmmmmsimms
la|vreamea|fieşcarele|dentru|împărăţiia lavreameafieşcareledentruîmpărăţiia isimmmmmsimmmmmmmmsimmmmsimmmmmmmms
lui|iară|după|aceaia|şi|alte luiiarădupăaceaiaşialte imsimmsimmsimmmmsisimms
săboară|sfinte|ce|s-au|făcut|după|ai săboarăsfinteces-aufăcutdupăai immmmmsimmmmsisimmsimmmsimmsis
împărătească|întru|cetatea|lu împărăteascăîntrucetatealu immmmmmmmmmsimmmsimmmmmsis
costantin|cel|mare|întru|săborul costantincelmareîntrusăborul immmmmmmsimsimmsimmmsimmmmms
cel|mare|despre|răsărită|iară|în celmaredesprerăsărităiarăîn imsimmsimmmmsimmmmmmsimmsis
laodichiia|şi|în|sardiia|şi|în|gag laodichiiaşiînsardiiaşiîngag immmmmmmmsisisimmmmmsisisims
greah|şi|întru greahşiîntru immmsisimmms
antiohiia|şi|într-alte|bisearici antiohiiaşiîntr-altebisearici immmmmmmsisimmmmmmmsimmmmmmms
mari|şi|în|cetăţi|ce marişiîncetăţice immsisisimmmmsis
cea|adeverită|ce ceaadeverităce imsimmmmmmmsis
o|scriseră|şi|ni-o oscriserăşini-o cimmmmmmsisimms
deaderă|noao|această|tocmeală|sfîntă deaderănoaoaceastătocmealăsfîntă immmmmsimmsimmmmmsimmmmmmsimmmms
întărîtată|întru|toate|împărichiturile|şi|blastemă întărîtatăîntrutoateîmpărichiturileşiblastemă immmmmmmmsimmmsimmmsimmmmmmmmmmmmmsisimmmmmms
îndireptătorii|lor|şi|pre|toţi|cîţi|gîndesc îndireptătoriilorşipretoţicîţigîndesc immmmmmmmmmmmsimsisimsimmsimmsimmmmms
într-un|chip|cu într-unchipcu immmmmsimmsis
nuşii|şi|gonesc|lupii nuşiişigonesclupii immmsisimmmmsimmms
pierzători|şi|suflete|putrede|de pierzătorişisufleteputredede immmmmmmmsisimmmmmsimmmmmsis
la|turma|lui|hristos|cea|grăitoare laturmaluihristosceagrăitoare isimmmsimsimmmmmsimsimmmmmmms
ce|ei|grăiesc|bîrfele|şi|hule|se ceeigrăiescbîrfeleşihulese isisimmmmmsimmmmmsisimmsis
învățară|ce|taie învățarăcetaie immmmmmsisimms
şi|împart|sfînta|și şiîmpartsfîntași isimmmmsimmmmsis
fără|de|începătoare|şi|într-o fărădeîncepătoareşiîntr-o immsisimmmmmmmmmsisimmmms
fire|şi|de|viiaţă|făcătoare|troița fireşideviiaţăfăcătoaretroița immsisisimmmmsimmmmmmmsimmmms
iară|unii|dentr-înşii|ziseră|să|nu|mărturisească iarăuniidentr-înşiiziserăsănumărturisească immsimmsimmmmmmmmmsimmmmsisisimmmmmmmmmmms
adevăr|pre|născătoarea adevărprenăscătoarea immmmsimsimmmmmmmmms
lui|dumnezeu|pre|sfînta luidumnezeupresfînta imsimmmmmmsimsimmmms
împărăteasă|a|noastră|şi|de împărăteasăanoastrăşide immmmmmmmmscimmmmmsisis
pururea|fecioară|mariia|iară|cătră|aceastea purureafecioarămariiaiarăcătrăaceastea immmmmsimmmmmmsimmmmsimmsimmmsimmmmmms
şi|alte|multe|întorsături|şi|hulituri|spre şialtemulteîntorsăturişihuliturispre isimmsimmmsimmmmmmmmmsisimmmmmmsimms
adevărată|şi|sfîntă adevăratăşisfîntă immmmmmmsisimmmms
pravoslavnică|credinţa|lui|hristos pravoslavnicăcredinţaluihristos immmmmmmmmmmsimmmmmmsimsimmmmms
dirept|aceaia|şi|noi|ca direptaceaiaşinoica immmmsimmmmsisimsis
nește|adeveriţi|biruitori|şi|ucenici|sfinţilor neșteadeveriţibiruitorişiucenicisfinţilor immmsimmmmmmmsimmmmmmmsisimmmmmsimmmmmmms
apostoli|ce|cu|dinşii|într-un|gînd|cu apostolicecudinşiiîntr-ungîndcu immmmmmsisisimmmmsimmmmmsimmsis
sfinţii|şi|cu sfinţiişicu immmmmsisis
părinții|mărturisim|de|ceale părințiimărturisimdeceale immmmmmsimmmmmmmmsisimmms
adeverite|ce|ne-au|dat|noao adeveritecene-audatnoao immmmmmmsisimmmsimsimms
sfinţii|apostoli|cealea|ce|le-au|învîrtoşat sfinţiiapostolicealeacele-auînvîrtoşat immmmmsimmmmmmsimmmmsisimmmsimmmmmmmms
şi|le-au|întărit|sfinţii|şi|dumnezeeștii|părinţii şile-auîntăritsfinţiişidumnezeeștiipărinţii isimmmsimmmmmsimmmmmsisimmmmmmmmmmsimmmmmms
noștri|şi|ne-au noștrişine-au immmmsisimmms
petrece|întru|creştinătatea|ceastă|dereaptă petreceîntrucreştinătateaceastădereaptă immmmmsimmmsimmmmmmmmmmmsimmmmsimmmmmms
şi|adeverită|şi|să|nu|ne şiadeverităşisănune isimmmmmmmsisisisis
cei|de|trei ceidetrei imsisimms
ori|blăstemaţi|şi|urîţi oriblăstemaţişiurîţi imsimmmmmmmmsisimmms
lui|dumnezeu|eretici|ce|a luidumnezeuereticicea imsimmmmmmsimmmmmsisc
fugi|de|aceia|şi|a|ne fugideaceiaşiane immsisimmmsiscis
înstriina|de|dinşii|şi|a-i|blăstema|pri-nşii înstriinadedinşiişia-iblăstemapri-nşii immmmmmmsisimmmmsisimsimmmmmmsimmmmmms
ca|pre|nește caprenește isimsimmms
ocinaşi|focului|celui|netrecut ocinaşifoculuiceluinetrecut immmmmsimmmmmsimmmsimmmmmms
şi|vieţuitori|diavolului|şi|prădaţii şivieţuitoridiavoluluişiprădaţii isimmmmmmmmsimmmmmmmmsisimmmmmms
dracului|şi|pierzători|de|suflete|putrede draculuişipierzătoridesufleteputrede immmmmmsisimmmmmmmmsisimmmmmsimmmmms
46|cui|se|va|tîmpla|a|junghea 46cuisevatîmplaajunghea isimsisisimmmmscimmmmms
ceva|şi|va cevaşiva immsisis
vrea|să|se|priceştuiască vreasăsepriceştuiască immsisisimmmmmmmmmmms
cu|sfînta|taină|să|nu cusfîntatainăsănu isimmmmsimmmsisis
47|nice|un|preot|să|nu|slujască 47niceunpreotsănuslujască isimmsisimmmsisisimmmmmms
cu|oțet|ce cuoțetce isimmsis
cu|vin|şi|cu cuvinşicu isimsisis
apă|iară|de|nu|se apăiarădenuse imsimmsisisis
va|afla|vin|şi|va|fi vaaflavinşivafi isimmsimsisisis
nevoie|iară|acela|să|afle|struguri|şi nevoieiarăacelasăaflestrugurişi immmmsimmsimmmsisimmsimmmmmmsis
să-i|strecure|re să-istrecurere immsimmmmmmsis
şi|să|le|cetească şisălecetească isisisimmmmmms
molitva|şi|să-i|blagoslovească|şi molitvaşisă-iblagosloveascăşi immmmmsisimmsimmmmmmmmmmmmsis
să|facă|cumenecătură|într-înşii|iară|de săfacăcumenecăturăîntr-înşiiiarăde isimmsimmmmmmmmmmsimmmmmmmmsimmsis
nu|se|vor|afla|nice|struguri|şi nusevoraflanicestrugurişi isisimsimmsimmsimmmmmmsis
va|fi|nevoie vafinevoie isisimmmms
mare|ca|se|nu marecasenu immsisisis
se|lase|leturghiia|iară|acela selaseleturghiiaiarăacela isimmsimmmmmmmmsimmsimmms
să|slujască|leturghie|cu|oțet|şi săslujascăleturghiecuoțetşi isimmmmmmsimmmmmmmsisimmsis
să-i|pare|rău|cu|frică|preotul|de să-iparerăucufricăpreotulde immsimmsimsisimmmsimmmmmsis
va|sluji|sfînta vaslujisfînta isimmmsimmmms
de-l|vor|chema|să|priceştuiască de-lvorchemasăpriceştuiască immsimsimmmsisimmmmmmmmmmms
pre|oarecarele|ce|va|să|moară preoarecarelecevasămoară imsimmmmmmmmsisisisimmms
ce|să|rabde cesărabde isisimmms
leturghie|şi|după|aceaia|să leturghieşidupăaceaiasă immmmmmmsisimmsimmmmsis
meargă|să-l|priceştuiască|iară|de-i|vor meargăsă-lpriceştuiascăiarăde-ivor immmmsimmsimmmmmmmmmmmsimmsimmsims
zice|lui|că|moare|cutarele|şi|va ziceluicămoarecutareleşiva immsimsisimmmsimmmmmmsisis
să|se|cuminece săsecuminece isisimmmmmms
atunce|preotul|pentru|mare atuncepreotulpentrumare immmmsimmmmmsimmmmsimms
nevoie|să|dea|ceteţului|sfîntul nevoiesădeaceteţuluisfîntul immmmsisimsimmmmmmmsimmmmms
pre|cine|va|să|moară|iară|de precinevasămoarăiarăde imsimmsisisimmmsimmsis
va|muri|acel vamuriacel isimmsimms
om|necuminecat|de|negrija omnecuminecatdenegrija isimmmmmmmmmsisimmmmms
