pravilaacestaiaste immmmmsimmmmsimmms
cevamîncaîmprotiva isisimmmsimmmmmmms
puteriiluiaşijdirea-ifăgăduiaștesă-și immmmmsimsimmmmmmmmmsimmmmmmmmmsimmms
lucreazenice-iopriaseposti immmmmmsimmmmsimmscisimmms
niceiarăamîncadecicinee immsimmscimmmsimmsimmsc
putearnicprelucrul immmmmmmsimsimmmms
mîncariifăgăduiaștemaiputearnică immmmmmsimmmmmmmmmsimsimmmmmmmms
săfiealucrareaiară isimscimmmmmmsimms
cinesevapostimaipre immsisisimmmsimsims
slabşiîntrurugăciunesărabdepre immsisimmmsimmmmmmmsisimmmsims
unlucruca isimmmsis
acestavăadunaţisă immmmsisimmmmmsis
viefieșcarelecudeceieînainte imsimmmmmmmmsisimmmmsimmmmms
săseîmpreunelabucateunii isisimmmmmmsisimmmmsimms
înal6ceasalțiiînal isiscimmsimmmsisis
7alțiiîn cimmmsis
al8alțiiîn iscimmmsis
al9iarăalţiisara iscimmsimmmsimms
noapteadeceuniişipresteo immmmmsimmsimmsisimmmmsc
ziiarăalţiişiprestedoaofieșcarele isimmsimmmsisimmmmsimmsimmmmmmmms
cumușvadupă immmsisimms
legiuireaîngeruluiiarăden immmmmmmsimmmmmmmsimmsims
ceichemaţitocmitorisăfie imsimmmmmsimmmmmmmsisims
casăfacătocmireloculuiîntru isisimmsimmmmmsimmmmmsimmms
toatesîmbăteodatășiduminecade immmsimmmmmscimmsisimmmmmmsis
doaoorişi immsimsis
ceidelocce imsisimsis
sezicdedoaoori isimsisimmsims
postmiercureașivinereadeciîntr-una immsimmmmmmmsisimmmmmsimmsimmmmmms
dezileuntrupmortaloarecăruia isimmsisimmsimmsisimmmmmmmms
fuscosla isimmsis
caleşi-lîntimpinămarele immsimmsimmmmmmmsimmmms
pahomieşivăzu2îngeri immmmmsisimmscimmmms
mergîndpreurmapatuluimortuluiși immmmmsimsimmsimmmmmsimmmmmmsis
sărugăluidumnezeusă-idescoaperelui isimmsimsimmmmmmsimmsimmmmmmmmsims
cefuşi isisis
venirăacei2îngeri immmmsimmscimmmms
cătrădinsulşizisecătră immmsimmmmsisimmsimmms
dinşiidereptcefiindvoiîngeri immmmsimmmmsisimmmsimsimmmms
şimeargeţipreurmaunuimortși-i isimmmmmmsimsimmsimmsimmsimms
grăirăluiunul immmmsimsimms
dennoiiastemiercuri imsimsimmmsimmmmmms
iarăaltulvineriiarăpentru immsimmmsimmmmsimmsimmmms
cemeargempreurmaluică isimmmmmsimsimmsimsis
tocmiîntruaceastezilepostpînăla immmsimmmsimmmmmsimmsimmsimmsis
moartealuiderept immmmmsimsimmmms
aceaiaşinoi-llăudăm immmmsisimmmsimmmms
celacesenevoiașteîntru immsisisimmmmmmmsimmms
dumnezeutocmiredecreştinătateaceamare immmmmmsimmmmmsisimmmmmmmmmmmsimsimms
șisfîntaşideviiaţăfăcătoareşi isimmmmsisisimmmmsimmmmmmmsis
într-ofireși immmmsimmsis
neîmpărţitatroițăşide immmmmmmmmsimmmmsisis
socotinţadumnezeiesculuitrupșide immmmmmmsimmmmmmmmmmmmmsimmsisis
sfinteleșicinstiteleicoaneșide immmmmmsisimmmmmmmmsimmmmsisis
cinstitacruceşideînchinareacinstitelorşi immmmmmsimmmsisisimmmmmmmmsimmmmmmmmmsis
sfintelormoaştieşi immmmmmmsimmmmmsis
desfințiide-al7 isimmmmmsimmmsc
săbordentrutoatelumeaşi immmsimmmmsimmmsimmmsis
detoatătocmealabiseariciicese isimmmsimmmmmmsimmmmmmmmsisis
cadetoatăaoţineaşia immsimmmsccimmmsisc
omărturisitocma cimmmmmmmsimmms
pînălavreameaceasului immsisimmmmmsimmmmmms
celuideapoicrezîntru immmsisimmsimmsimmms
unuldumnezeupărinteleatotţiitoriulfăcătoriulceriului immsimmmmmmsimmmmmmmsimmmmmmmmmmmsimmmmmmmmsimmmmmms
șialpămîntuluituturorvăzutelorşinevăzutelor isisimmmmmmmmsimmmmmsimmmmmmmsisimmmmmmmmms
şiîntr-unuldomn isimmmmmmmsimms
isushristosfiiullui immsimmmmmsimmmsims
dumnezeuunulnăscutcee immmmmmsimmsimmmmsisc
delapărintelenăscutmainainte isisimmmmmmmsimmmmsimsimmmms
detoţiveaciiluminădenluminădumnezeu isimmsimmmmsimmmmsimsimmmmsimmmmmms
adeveritdela immmmmmsisis
dumnezeuadevărnăscutiară immmmmmsimmmmsimmmmsimms
nufăcutîntr-oofire isimmmsimmmmscimms
apărinteluicecudinsulfură cimmmmmmmmsisisimmmmsimms
toatepentrunoioameniişipentruspăsenia immmsimmmmsimsimmmmmsisimmmmsimmmmmms
noastrăpogorîden immmmmsimmmmsims
ceriuşiseîntrupoșă immmsisisimmmmmmms
deladuhulsfîntşi isisimmmsimmmsis
delafatămariiaseîmpeliță isisimmsimmmmsisimmmmmms
şiserăstignipentrunoiînzilele isisimmmmmmsimmmmsimsisimmmms
luipilatden imsimmmsims
pontşichinuişi immsisimmmmsis
fuîngrupatșiînvisea isimmmmmmsisimmmmsc
treiazidupăscripturăşise immmsisimmsimmmmmmmsisis
suispreceriuşişadede-adireapta imsimmsimmmsisimmsimmsimmmmmms
tatăluişiiară immmmmsisimms
vaveniîntrumărire isimmsimmmsimmmms
săjudeceviiişimorţii isimmmmsimmsisimmmms
ceîmpărăţiian-aresfîrşitşiîntru isimmmmmmmmsimmmsimmmmmsisimmms
duhulsfîntadeveritceedeviață immmsimmmsimmmmmmsiscisimmms
făcătoriuceiase immmmmmmsisimms
delapărintelece isisimmmmmmmsis
cupărinteleşicufiiul isimmmmmmmsisisimmms
ineînchinămși-lmărimpre cisimmmmmmsimmsimmmsims
celacel-augrăitprorociiîntr-osfîntă immsisimmsimmmsimmmmmmsimmmmsimmmms
asăboruluişi cimmmmmmmsis
apostoleascăbisearecămărturisescun immmmmmmmmmsimmmmmmmsimmmmmmmmmsis
botezdeiertarepăcatelorașteptăm immmsisimmmmmsimmmmmmmsimmmmmms
înviiaremorţilorşiviaţaceva immmmmmsimmmmmmsisimmmsisis
săfieînveaciaminiarăcum isimsisimmmsimmsimmsims
sezicecrez isimmsimms
cumaizicecă imsisimmsis
măbotezaiuîntrunumeletatălui isimmmmmmsimmmsimmmmsimmmmms
şialfiiuluişialduhului isisimmmmmsisisimmmmms
sfîntîntruodumnezeireşiîntr-oîmpărăţie immmsimmmscimmmmmmmmsisimmmmsimmmmmmms
şiîntr-oînceapere isimmmmsimmmmmmms
şiîntr-otărieşi isimmmmsimmmsis
întreitocmealecese isimmsimmmmmmsisis
zicefeațeceialeşichipuri immsimmmsisimmsisimmmmms
secheamăşitocmealecăunae isimmmmsisimmmmmmsisimsc
tocmealaşialta immmmmmsisimms
efireafireasă cimmmsimmmsis
cheamăceedepreunăşi immmmsiscimmmmmmsis
treifeațecăunaiastefirea immsimmmsisimsimmmsimmms
şisînttreifeațeiarătocmealelese isimmsimmsimmmsimmsimmmmmmmmsis
cheamăofire immmmscimms
cuchipultocmealelorcă isimmmmsimmmmmmmmmsis
unuletatălşiunul immscimmmsisimms
efiiulşiunuleduhul cimmmsisimmscimmms
sfîntcetaietocmealeleiarănuiaste immmsisimmsimmmmmmmmsimmsisimmms
altăfirece immsimmsis
aceaiaşfireşiaceaiaş immmmmsimmsisimmmmms
vrearecădepreunăetatăl immmmsisimmmmmmscimmms
şifiiulşisfîntulduhdeci isimmmsisimmmmmsimsimms
părinteleenenăscutiarăfiiuleşi immmmmmmscimmmmmmsimmsimmmscis
nașteredela immmmmsisis
părintelecadentrusoare immmmmmmsisimmmmsimmms
luminăşidentrumintecuvînt immmmsisimmmmsimmmsimmmms
iarăduhulsfîntueieşirede immsimmmsimmmmscimmmmsis
lapărintelecăfireapărinteluienenăscută isimmmmmmmsisimmmsimmmmmmmmscimmmmmmms
cesecheamă isisimmmms
tatăliarăfireafiiului immmsimmsimmmsimmmmms
ceedesecheamă iscisisimmmms
fiiulşifunăscutdela immmsisisimmmmsisis
părinteleiarăfireareaduhuluicese immmmmmmsimmsimmmsimsimmmmmsisis
cheamăduhulsfînt immmmsimmmsimmms
şiiasedela isimmsisis
părinteleiarătoatefirilece immmmmmmsimmsimmmsimmmmsis
sezicefeaceotocmealăşi isimmsimmmscimmmmmmsis
ofireovreareofacereo cimmscimmmmscimmmmsc
bunătateoputeare immmmmmscimmmmms
unsfeatdereptaceaia isimmmsimmmmsimmmms
undumnezeumărturisesciarănu isimmmmmmsimmmmmmmmmsimmsis
treicănusîntdespărţiţiunul immsisisimmsimmmmmmmmsimms
dentr-altcaoameniiniceînmultechipuri immmmmmmsisimmmmmsimmsisimmmsimmmmms
denăravurice isimmmmmmsis
depreunătatălşifiiul immmmmmsimmmsisimmms
şiduhulsfîntşiunul isimmmsimmmsisimms
dentrualtulnevărsaţişineamestecaţîncap immmmsimmmsimmmmmmmsisimmmmmmmmmsimmms
fieşcareleisesocoteaștefațaluiunul immmmmmmmscisimmmmmmmmsimmsimsimms
întrumoşteniealtul immmsimmmmmmsimmms
întrufeciorieiarăaltul immmsimmmmmmsimmsimmms
întruieşireiarăde-mva immmsimmmmsimmsimmsis
grăineștineceiastetatălzice-i-voiu immsimmmmmsisimmmsimmmsimmmmmmmmms
luiceiastefiiulşiduhulsfînt imsisimmmsimmmsisimmmsimmms
cepetreacetatăl isimmmmmmsimmms
iarăde-mvagrăi immsimmsisimms
ceiastefiiulzice-i-voiului isimmmsimmmsimmmmmmmmmsims
iastecumamzistatălşi immmsimsisimsimmmsis
duhulsfîntcepetreacefiiulaşijdereaşi immmsimmmsisimmmmmmsimmmsimmmmmmmsis
deduhulsfînt isimmmsimmms
căiatăiastece isimmsimmmsis
etatălşifiiulce cimmmsisimmmsis
petreaceduhulsfîntcătocmealăneclătită immmmmmsimmmsimmmsisimmmmmmsimmmmmmms
iastecumzicegrigoriiblagoslovcumpetreace immmsimsimmsimmmmmmsimmmmmmmsimsimmmmmms
tocmealaclătităşi immmmmmsimmmmmsis
mutatădeciiastedumnezeire immmmsimmsimmmsimmmmmmmms
desecadeazice isisimmscimms
prescurtneîmpărţitîntruaceasteîmpărţiri imsimmmsimmmmmmmmsimmmsimmmmmsimmmmmmms
unaofireiarăaltăofaţă imscimmsimmsimmscimms
cumarăfi imsimsis
treifiridepreunăîntr-un immsimmsimmmmmmsimmmmms
soareoluminăamesticatăcînd immmscimmmmsimmmmmmmmsimms
seveadeîntrudumnezeireofire isimmmsimmmsimmmmmmmmscimms
şirîndulşiuniiîncepăturioînchinăciune-m isimmmmsisimmsimmmmmmmmscimmmmmmmmmmmms
iastesauo immmsimsc
buiguireiarăcătrătocmeale immmmmmsimmsimmmsimmmmmms
şifeațe3sîntînchinate isimmmscimmsimmmmmmms
deciaceasteaumblăcuvîntuldupă immsimmmmmmsimmmsisimmmmsimms
marelegrigoriecugetăsoareleşiluminași immmmsimmmmmmsimmmmsimmmmmsisimmmmsis
zărileminteacu immmmsimmmmsis
vîntulşisufletulde-nceput immmmsisimmmmmmsimmmmmmms
apăşiizvorşirîu imsisimmmsisims
însădupăcumzicemcredinţasă immsimmsimsimmmsimmmmmmsis
apuceînainteiarănuspunereacade-sea immmsimmmmmsimmsisimmmmmmsimmmmmsc
totomulcurat imsimmsimmms
şiluminatculucrurile isimmmmmsisimmmmmmms
luidumnezeuşicasă imsimmmmmmsisisis
aibăîndereptătoriuduhulsfîntcalumina immsimmmmmmmmmmmmsimmmsimmmsisimmmms
săialuminăcasecreazăîntru isisimmmmsisisimmmmsimmms
numeletatăluişi immmmsimmmmmsis
alfiiuluişial isimmmmmsisis
duhuluisfîntîntr-odumnezeireşi immmmmsimmmsimmmmsimmmmmmmmsis
într-oputeareîntrutreitocmealesă immmmsimmmmmsimmmsimmsimmmmmmsis
secunoascăşiseseînchineiară isimmmmmmsisisisimmmmmsimms
demăva isisis
întrebacinevade-ntrupoşareadumnezeiască immmmmsimmmmsimmmmmmmmmmmmsimmmmmmmmmms
adomnuluişidumnezeulmîntuitoriul cimmmmmmsisimmmmmmmsimmmmmmmmmms
nostruisushristosiară-ivoirăspunde immmmsimmsimmmmmsimmmmsimsimmmmmms
luiînsuşcuvîntulluidumnezeunescrisfără imsimmmsimmmmmmsimsimmmmmmsimmmmmsimms
detrupunul isimmsimms
născutfiiudela immmmsimmsisis
părinteleceeluminăde immmmmmmsiscimmmmsis
laluminănărîulvieţiişi isimmmmsisimmsimmmmsis
fără-de-moarteluminamărireişichipulfeațeilui immmmmmmmmmmmsimmmmsimmmmmsisimmmmsimmmmsims
cusveatulpărintelui isimmmmmsimmmmmmmms
celuifărădeînceapere immmsimmsisimmmmmmms
şiculucrareaduhuluisfînt isisimmmmmmsimmmmmsimmms
dentrusîngelefecioareiblagoslovițăsfîntăşi immmmsimmmmmsimmmmmmmsimmmmmmmmmmsimmmmsis
depurureafecioarămariiafiindîntrutocmeala isimmmmmsimmmmmmsimmmmsimmmsimmmsimmmmmms
luiîngroşăpre imsimmmmmsims
sinetrupviuşi immsimmsimsis
cuvîntăreţşiacestaînvreame immmmmmmmsisimmmmsisimmmms
de9luniseîntărişi iscimmsisimmmmsis
sănăscuompurtăreţcesezice isimmmsisimmmmmmsisisimms
dumnezeuşiom immmmmmsisis
într-otocmealădoaofiri immmmsimmmmmmsimmsimms
purtăneîmpărţitşineamestecatşi immmsimmmmmmmmsisimmmmmmmmmsis
în2vrerişiîn2 iscimmmsisisc
faceridenpreunădumnezeireaşiomeniacăvru immmmsimmmmmmmsimmmmmmmmmsisimmmmsisims
caundumnezeu isisimmmmmms
şilucrăcecu isimmmsisis
fireanumaivreriişilucrării immmsimmmsimmmmsisimmmmmms
iarănupăcatuluicăfireomenească immsisimmmmmmmsisimmsimmmmmmms
fărădepăcatauluatşidentr immsisimmmsisimmsisimmms
traceaiașîmpreunare isimmmmmsimmmmmmmms
voiaomeneascășilucrării immsimmmmmmmsisimmmmmms
senevoicuvreareaîmpreunării isimmmsisimmmmmsimmmmmmmmms
dumnezeireişicevreavoiadumnezeiască immmmmmmmmsisisimmsimmsimmmmmmmmmms
iatăşitrupeascacevoiagrăiescşi immsisimmmmmmmsisimmsimmmmmsis
facereacăfirea immmmmsisimmms
cevreamîncavrea isimmsimmmsimms
debeavrudeîmbla isimsimsisimmms
şiaceaialucracumvreace isimmmmsimmmsimsimmsis
aceasteafăceafireadumnezeireidupăslobozieiară immmmmmsimmmsimmmsimmmmmmmmmsimmsimmmmmmsimms
nudenevoie isisimmmms
cumeucese imsisisis
şiostenişicee isimmmmsisisc
deserugăpărintetreci-mipăharul isisimmsimmmmmsimmmmmmsimmmmms
căeravreareafireiceşidupă isimsimmmmmsimmmsisisimms
înviiareşide-a immmmmmsisimms
direaptapărinteluişădeare2 immmmmmsimmmmmmmmsimmmmmsc
firimărturisescdehristosdepreună immsimmmmmmmmmsisimmmmmsimmmmmms
dumnezeireaşiomenireamăcarăcefu immmmmmmmmsisimmmmmmsimmmmsisis
şimaipredesupradefirecă isimsimsimmmmmsisimmsis
fireaea immmscc
minţiişiacuvîntului immmmsiscimmmmmmmms
şiaviuluicănu iscimmmmsisis
nueputinţăvoieicăoareunde iscimmmmmsimmmsisimmmmmms
efireagrăitoareacoloeşifacerea cimmmsimmmmmmmsimmmscisimmmmms
şivreareaiară isimmmmmsimms
firea2vrerisă immmscimmmsis
înţelegiiarănăravulunulsocotirea immmmmmsimmsimmmmmsimmsimmmmmmms
otocmeașteiarădupăsloboziiadumnezeirei cimmmmmmmsimmsimmsimmmmmmmsimmmmmmmmms
iarăumblăşiomeniialucreazăamîndoaoiară immsimmmsisimmmmmsimmmmmmsimmmmmmsimms
deteva isisis
întrebacinevaceiau immmmmsimmmmsisims
grăiașteluiiautoatătocmeala immmmmmsimsimsimmmsimmmmmms
biseareciicealescriseşicealenescrise immmmmmmmsimmmsimmmmsisimmmsimmmmmms
lecuprinzşimăînchincinstiteloricoane isimmmmmsisisimmmmsimmmmmmmmmsimmmms
ceecu iscis
trupdeomcuvîntul immsisisimmmmmms
luidumnezeublagoslovituldumnezeireişi imsimmmmmmsimmmmmmmmmmmsimmmmmmmmmsis
furănemutaţipreceiace-şiunge immsimmmmmmsimsimmsimmmsimms
cucredinţapare-mcă-lvăzprecela isimmmmmmsimmmmsimmsimsimsimms
ces-auarătat isimmsimmmms
cutrupșicu isimmsisis
oameniiaupetrecutşipentru immmmmsisimmmmmmsisimmmms
vedeareatrupuluimîntuireameatocmiînchinu-mă immmmmmsimmmmmmsimmmmmmmsimsimmmsimmmmmmmms
lemnuluicinstiteicrucipentrucecăfu immmmmmsimmmmmmmsimmmsimmmmsisisis
legattrupullui immmsimmmmsims
dumnezeuspredinsulşi immmmmmsimmsimmmmsis
atotchipulcee cimsimmmmsisc
deviiaţăcruceasfintelorvaseşi isimmmmsimmmmsimmmmmmmsimmsis
cinstiteișidumnezeieștiicaseşiloculuişi immmmmmmsisimmmmmmmmmmmsimmsisimmmmmsis
luminatelorcărţipentru immmmmmmmmsimmmsimmmms
ce-sfăcutecumîna immsimmmmsisimms
binevrurăapetreacepentru immsimmmscimmmmmmsimmmms
noişiacealeadumnezeieșticuvintebine imsisimmmmmsimmmmmmmmmmsimmmmmsimms
vrudesescriserăcumaimultă imsisisimmmmmmsisimsimmms
iubiredeoameni immmmsisimmmms
închinu-măşicinstescicoana immmmmmmmsisimmmmmmsimmmms
preacurateinăscătoareiluidumnezeuşi immmmmmmmmsimmmmmmmmmsimsimmmmmmsis
tuturorcinstiteloricoaneaogodnicilorlui immmmmsimmmmmmmmmsimmmmscimmmmmmmmmsims
dumnezeupentrucătrăofiremăînchin immmmmmsimmmmsimmmscimmsisimmmms
cudragostelui isimmmmmmsims
dumnezeucuochisufletești immmmmmsisimmsimmmmmmmms
zborcătrăvedeareachipuluicelui immsimmmsimmmmmmsimmmmmmsimmms
dentîiuşinuîntocmescminteatocma immmmmsisisimmmmmmmsimmmmsimmms
pînălalucrulşarurilorînchinu-măcelorace immsisimmmmsimmmmmmmsimmmmmmmmsimmmmsis
autrimiscinste isimmmmsimmmms
chipuluiceluidentîiucinstesc immmmmmsimmmsimmmmmsimmmmmms
şisfințiițiimoaştelesfinţilor isimmmmmsimsimmmmmmsimmmmmmms
cădeluminateşidevindecare isisimmmmmmsisisimmmmmmms
luarădardeladumnezeuaşacrez immmsimsisisimmmmmmsimsimms
aşagîndescîntru imsimmmmmsimmms
toatemăbotezaiutoate immmsisimmmmmmsimmms
lesosiiuşitoţereticii isimmmmsisimsimmmmmms
şiceiacesîntîntr-unnărav isimmsisimmsimmmmmsimmms
cudinşiişidetoateîmpărechitorilelor isimmmmsisisimmmsimmmmmmmmmmmmmsims
fugşile imsisis
blastemşileurăsc immmmmsisisimmms
iarăpriimescşimăînchin immsimmmmmmsisisimmmms
şicinstescsfîntuldentrutoatălumea isimmmmmmsimmmmmsimmmmsimmmsimmms
al7săbor1celdeîn iscimmmscimsisis
icheia318sfinţi immmmsimsimmmms
părinţi2celdentru immmmmscimsimmmms
încetatealuicostantin150 isimmmmmsimsimmmmmmmsims
desfinţipărinţi3înefes isimmmmsimmmmmscisimms
200depărinţi4dehalchidon630 imsisimmmmmscisimmmmmmmsims
desfinţipărinţi isimmmmsimmmmms
5iarădentr-acelchip cimmsimmmmmmmmsimms
încetatealuicostantin165 isimmmmmsimsimmmmmmmsims
desfinţipărinţi6aşijdireaiară isimmmmsimmmmmscimmmmmmmsimms
încetatealuicostantin170depărinţi isimmmmmsimsimmmmmmmsimsisimmmmms
sfinţi7în immmmscis
nichea350depărinţi immmmsimsisimmmmms
sfinţiiarăpriimescpretoţi immmmsimmsimmmmmmsimsimms
ş-alţiicudarulluidumnezeuce immmmmsisimmmsimsimmmmmmsis
se-auadunatdeîntărirecreştinătățiiprealocurea immmsimmmmsisimmmmmmsimmmmmmmmmmmsimsimmmmmms
sfintesăboarăce immmmsimmmmmsis
predinseleşibiseareca imsimmmmmsisimmmmmmms
apostolilorle-aupriimitiarăpre immmmmmmmmsimmmsimmmmmsimmsims
ceiacese-aulepădatlepădă-işi immsisimmmsimmmmmsimmmmmmsis
preceiacei-aublăstematblastemu-iaşa imsimmsisimmsimmmmmmmsimmmmmmmmsims
gîndescşiaşa immmmmsisims
crezşimărturisescde immsisimmmmmmmmmsis
purureasfîntaşideviaţă immmmmsimmmmsisisimmms
făcătoareşiîntr-ofiretroițapînă immmmmmmsisimmmmsimmsimmmmsimms
lamoarteameacudarulluihristos isimmmmmsimsisimmmsimsimmmmms
aminaceastafu immsimmmmmsis
tocmitădezisacreştinătăţii immmmmsisimmsimmmmmmmmmmms
dentrudumnezeieștilescripturidegrigorie immmmsimmmmmmmmmmmmsimmmmmmmsisimmmmmms
blagoslovşideînvăţăturilesfinţilorapostoli immmmmmmsisisimmmmmmmmmmsimmmmmmmsimmmmmms
şidentrusăborulcelorpărinţidumnezeieștiîntru isimmmmsimmmmmsimmmsimmmmmsimmmmmmmmmmsimmms
credinţădireaptăa immmmmmsimmmmmmsc
petreaceşiîntrucreştinătate immmmmmsisimmmsimmmmmmmmmms
cenevaumblaîntruaceastă immsisimmmsimmmsimmmmms
slăvităpetreacerealtătocmealădeustinian immmmmsimmmmmmmmsimmsimmmmmmsisimmmmmms
ceautocmitînsuşiîmpărăţiialuicrez isisimmmmsimmmmsimmmmmmmmsimsimms
întrudumnezeutatăl immmsimmmmmmsimmms
atotțiitoriușiîntruunul immmmmmmmmmsisimmmsimms
domnulisushristosfiiullui immmmsimmsimmmmmsimmmsims
dumnezeușiîntruduhulsfîntunii immmmmmsisimmmsimmmsimmmsimms
firiîntrutreitocmealeneînchinămunii immsimmmsimmsimmmmmmsisimmmmmmsimms
dumnezeiriuniiputeri immmmmmmmsimmsimmmms
troițaîntruofire immmmsimmmscimms
iarălazileledeapoi immsisimmmmsisimms
mărturisimdomnulnostruisushristosunul immmmmmmmsimmmmsimmmmsimmsimmmmmsimms
născutfiiulluidumnezeuadevărdumnezeuadeverit immmmsimmmsimsimmmmmmsimmmmsimmmmmmsimmmmmms
cemainainte isimsimmmms
deveacfărăde isimmsimmsis
aidelatatălnăscut isisisimmmsimmmms
depurureaîntr-ofirecupărintele isimmmmmsimmmmsimmsisimmmmmmms
cedentrudinsulsînttoateșicu isimmmmsimmmmsimmsimmmsisis
dinsultoatepogorî immmmsimmmsimmmms
denceriușise imsimmmsisis
întrupoșădenduhulsfîntși immmmmmmsimsimmmsimmmsis
dentrusfîntaslăvitanăscătoarealuidumnezeu immmmsimmmmsimmmmmsimmmmmmmmmsimsimmmmmms
șidepurureafecioarămariiaseîntrupă isisimmmmmsimmmmmmsimmmmsisimmmmms
răstignirerăbdăpentru immmmmmmmsimmmsimmmms
noilapilatden imsisimmmsims
pontiarăseîngrupăși immsimmsisimmmmmsis
înviseatreiaziunuliarăși immmmscimmmsisimmsimmmms
într-acealeașchinurișiminunicealeacele immmmmmmmmmmsimmmmmsisimmmmsimmmmsisis
răbdăvăzîndu-lepre immmsimmmmmmmmsims
trupnualtcuvînt immsisimsimmmms
aluidumnezeuşialt cimsimmmmmmsisims
hristossăștimceunulși immmmmsisimmsisimmsis
aceleașîntr-ofiretatăluidupădumnezeireși immmmmsimmmmsimmsimmmmmsimmsimmmmmmmmsis
într-ofirenoao immmmsimmsimms
aşijdereadupătrupcă immmmmmmsimmsimmsis
oarecumfuîntrudumnezeiredeplin immmmmsisimmmsimmmmmmmmsimmmms
cănuîmpreunariitocmealelorluamde isisimmmmmmmmmsimmmmmmmmmsimmsis
mărturisimcăiastetroițatroițaşise immmmmmmmsisimmmsimmmmsimmmmsisis
întrupoșăunuldentru immmmmmmsimmsimmmms
sfîntatroițăcuvîntullui immmmsimmmmsimmmmmmsims
dumnezeucănutocmimpatru immmmmmsisisimmmmsimmms
feațealuareasfîntatroițadeci immmscimmmmsimmmmsimmmmsimms
cinevaaveaaceasteaaşablăstămămu-lde immsisimmsimmmmmmsimsimmmmmmmmmmsis
toateîmpărechiturileiară immmsimmmmmmmmmmmmmsimms
maialesprenistorie imsimmsimsimmmmmms
caunslujitoriuşipre isisimmmmmmmmsisims
ceiacechitescîntr-aceastaşchitealăceia immsisimmmmmsimmmmmmmmmmmsimmmmmmsimms
ceîmpartunuldomnulnostruisushristos isimmmmsimmsimmmmsimmmmsimmsimmmmms
fiiulludumnezeu immmsisimmmmmms
şidomnulnostruşi isimmmmsimmmmsis
ceiacenuomărturisesc immsisiscimmmmmmmmms
întrupele-şișidupăadevărsfînta immmsimmmmmsisimmsimmmmsimmmms
șislăvitaşidepurureafecioarămarie isimmmmmsisisimmmmmsimmmmmmsimmms
blagoslovițăcese immmmmmmmmmsisis
zicemumaluidumnezeu immsimmsimsimmmmmms
cedoifiigrăiescdeci isimsimsimmmmmsimms
unulceedelatatul immsiscisisimmms
cuvîntulluidumnezeuiarăaltulcee immmmmmsimsimmmmmmsimmsimmmsisc
delasfînta isisimmmms
blagoslovițăşidepurure immmmmmmmmmsisisimmmms
fecioarămariiacudarulşi immmmmmsimmmmsisimmmsis
cudragosteașicuîmpreunareace isimmmmmmmsisisimmmmmmmmmsis
ecuvîntulluidumnezeuacelasăfie cimmmmmmsimsimmmmmmsimmmsisims
dumnezeuşiceia immmmmmsisimms
ceseleapădăşi isisimmmmmsis
numărturisescpredespuitoriuldomnul isimmmmmmmmmsimsimmmmmmmmmmsimmmms
nostruisushristosfiiulluidumnezeu immmmsimmsimmmmmsimmmsimsimmmmmms
şidomnulnostrucese-auîntrupoşatşi isimmmmsimmmmsisimmmsimmmmmmmmsis
se-auîmpeliţatşi immmsimmmmmmmsis
se-aurăstignitnitunul immmsimmmmmmmsimsimms
acelaafidentrusfînta immmscisimmmmsimmmms
șiîntr-ofiretroițacăacesta isimmmmsimmsimmmmsisimmmms
unuliasteceineînchinămși-l immsimmmsiscisimmmmmmsimms
mărimcutatăl immmsisimmms
șicuduhulsfînt isisimmmsimmms
iarăblăstemămşipreevtihie immsimmmmmmmsisimsimmmmms
mintevătămatăceșipreceia immmsimmmmmmsisisimsimms
ceauînţelepţitcudinsulşipre isisimmmmmmmmsisimmmmsisims
ceiaceînţelepţesc immsisimmmmmmmmms
șiacmucătrăprivideanii isimmsimmmsimmmmmmmmms
aducomeniiaunuianăscutfiiul immsimmmmmsimmmsimmmmsimmms
luidumnezeuşitoțiceiace imsimmmmmmsisimmsimmsis
selăpădădesfîntafecioarășinăscătoarea isimmmmsisimmmmsimmmmmmsisimmmmmmmmms
luidumnezeumariia imsimmmmmmsimmmms
adeveritănaștereadomnuluişi immmmmmmsimmmmmmsimmmmmmsis
dumnezeuluiispititoriuluinostruisushristos immmmmmmmmsimmmmmmmmmmmmsimmmmsimmsimmmmms
cesezicemîntuireanoastrăşi isisimmsimmmmmmmsimmmmmsis
cinenu-lvamărturisipreacelaîntr-o immsimmsisimmmmmmmsimsimmmsimmmms
fireapărintelui immscimmmmmmmms
dupădumnezeireşiîntr-o immsimmmmmmmmsisimmmms
firedupăomeniedumnezeireîntr-acelaş immsimmsimmmmsimmmmmmmmsimmmmmmmmms
chipaluapolinariesufletputred immscisimmmmmmmmsimmmmsimmmms
șipreceiaceaugînditîntr-un isimsimmsisisimmmmsimmmmms
chipcudinsul immsisimmmms
șicinechiteașteașa isimmsimmmmmmmsims
șicinegrăiaștefărăde isimmsimmmmmmsimmsis
mintedomnulnostruisushristosfiiul immmsimmmmsimmmmsimmsimmmmmsimmms
luidumnezeuşidomnulnostrudumnezeuși imsimmmmmmsisimmmmsimmmmsimmmmmmsis
cinebagăamestecăciune immsimmsimmmmmmmmmmms
cătrăomenieunuianăscut immmsimmmmsimmmsimmmms
fiiuluiluidumnezeuşitoţi immmmmsimsimmmmmmsisimms
