pravila|acesta|iaste pravilaacestaiaste immmmmsimmmmsimmms
suiră|genruchele|genruchele suirăgenruchelegenruchele immmsimmmmmmmmsimmmmmmmms
lu|dumnedzeu|şi|mărturia ludumnedzeuşimărturia isimmmmmmmsisimmmmmms
lu|israil|ispoveadiţi-vă|numelui|lu luisrailispoveadiţi-vănumeluilu isimmmmsimmmmmmmmmmmmsimmmmmsis
dumnedzeu|5că|acie|şedzură|scaunele|la dumnedzeu5căacieşedzurăscaunelela immmmmmmsimsimmsimmmmmsimmmmmmsis
giudeţ|scaunele|în|casa|lu|david|6întrebaţi giudeţscauneleîncasaludavid6întrebaţi immmmsimmmmmmsisimmsisimmmsimmmmmmmms
acelea|de|pacele aceleadepacele immmmsisimmmms
ierusalimului|şi|destul|e ierusalimuluişidestule immmmmmmmmmmsisimmmmsc
ce|te|iubescu|7fie|pace ceteiubescu7fiepace isisimmmmmsimmsimms
pace|de|tinre|9dereptu pacedetinre9dereptu immsisimmmsimmmmmms
casa|domnului|dumnedzeului|tău|cerşuiu casadomnuluidumnedzeuluităucerşuiu immsimmmmmmsimmmmmmmmmmsimsimmmmms
bunre|ţie|cîntec|a|pragurelor|122 bunreţiecîntecapragurelor122 immmsimsimmmmscimmmmmmmmsims
vii|în|ceriu viiînceriu imsisimmms
2adecă|ca|ochii|şerbului 2adecăcaochiişerbului immmmsisimmmsimmmmmms
nostru|pînră|ne nostrupînrăne immmmsimmmsis
va|cru|ţa|3miluiaşte vacruţa3miluiaşte isimsisimmmmmmmms
noi|doamne|miluiaşte-ne|că|mai noidoamnemiluiaşte-necămai imsimmmmsimmmmmmmmmmsisims
multu|împlumu-ne|de|urriciunri|4ce|mai multuîmplumu-nedeurriciunri4cemai immmsimmmmmmmmsisimmmmmmmmsimsims
împlu-se|sufletul|nostru|de|ponoslu|adurîndu|ponoslu împlu-sesufletulnostrudeponosluadurînduponoslu immmmmmsimmmmmmsimmmmsisimmmmmsimmmmmmsimmmmms
pragurelor|123|1că|se pragurelor1231căse immmmmmmmsimsimsis
nu|au|vrut|fi|domnul nuauvrutfidomnul isisimmsisimmmms
întru|noi|se|dzică|acmu|israil întrunoisedzicăacmuisrail immmsimsisimmmsimmsimmmms
2că|se|nu|au|vrut|fi|domnul 2căsenuauvrutfidomnul imsisisisimmsisimmmms
întru|noi|cîndu întrunoicîndu immmsimsimmms
a|sta|oamenrilor|pre astaoamenrilorpre cimsimmmmmmmmsims
cîndu|se-au|vrut|mînia|băsăulu|loru cînduse-auvrutmîniabăsăululoru immmsimmmsimmsimmmsimmmmmsimms
pre|noi|4iată|apă|ne-au|vrut|neca prenoi4iatăapăne-auvrutneca imsimsimmmsimsimmmsimmsimms
5vale|trecu|sufletele 5valetrecusufletele immmsimmmsimmmmmmms
noastre|apă|neoprită|6blagoslovitu noastreapăneoprită6blagoslovitu immmmmsimsimmmmmmsimmmmmmmmmmms
noi|vîrat|dinţilor|al|lor|7sufletele noivîratdinţilorallor7sufletele imsimmmsimmmmmmsisimsimmmmmmmms
noastre|ca|paserea|izbăvi-se|de|cursa|vînrătorilor noastrecapasereaizbăvi-sedecursavînrătorilor immmmmsisimmmmmsimmmmmmmsisimmmsimmmmmmmmmms
cursa|frînse-se|şi cursafrînse-seşi immmsimmmmmmmsis
nostru|în|numele|lu|dumnedzău nostruînnumeleludumnedzău immmmsisimmmmsisimmmmmmms
cîntarea|pragurelor|124|1nedejditorii|pre|domnul|ca cîntareapragurelor1241nedejditoriipredomnulca immmmmmsimmmmmmmmsimsimmmmmmmmmmmsimsimmmmsis
dealul|sionului|nu dealulsionuluinu immmmsimmmmmmsis
se|va|clăti|în sevaclătiîn isisimmmsis
veaci|viindu|2în|ierusalime|dealu veaciviindu2înierusalimedealu immmsimmmmsimsimmmmmmmmsimmms
rile|denpregiuru|lui|şi|domnulu|denpregiurulu riledenpregiuruluişidomnuludenpregiurulu immsimmmmmmmmmsimsisimmmmmsimmmmmmmmmmms
oamenrilor|săi|de|acmu|şi|pînră|la oamenrilorsăideacmuşipînrăla immmmmmmmsimsisimmsisimmmsis
mînrule|sale|4îmbunreadză|doamne|bunrilor|şi|derepţilor mînrulesale4îmbunreadzădoamnebunrilorşiderepţilor immmmmsimmsimmmmmmmmmmsimmmmsimmmmmmsisimmmmmmmms
se|vor|rrădzima|plată sevorrrădzimaplată isimsimmmmmmsimmms
lă|va|spunre|domnul|cu lăvaspunredomnulcu isisimmmmsimmmmsis
făcătorii|fărădeleage|pace|pre|israili|cîntarea făcătoriifărădeleagepacepreisrailicîntarea immmmmmmsimmmmmmmmmsimmsimsimmmmmsimmmmmms
pragurelor|125|1cîndu|va|întoarce|domnul|prada pragurelor1251cînduvaîntoarcedomnulprada immmmmmmmsimsimmmmsisimmmmmmsimmmmsimmms
sionului|fum|ca sionuluifumca immmmmmsimsis
rrostul|nostru|şi|limba|noastră rrostulnostruşilimbanoastră immmmmsimmmmsisimmmsimmmmms
de|veselie|atunce|în|limbi|mărit-au deveselieatunceînlimbimărit-au isimmmmmsimmmmsisimmmsimmmmmms
a|face|cu afacecu cimmsis
noi|fum|veselindu-ne|4întoarse noifumveselindu-ne4întoarse imsimsimmmmmmmmmmsimmmmmmms
domnul|prădarea|noastră|ca|valea domnulprădareanoastrăcavalea immmmsimmmmmmsimmmmmsisimmms
cu|austru|5sămărătoriul|sămărîndu|cu|lacrămi cuaustru5sămărătoriulsămărînduculacrămi isimmmmsimmmmmmmmmmmsimmmmmmmsisimmmmms
cu|bucurie|seaceră|6cei|îmblători|îmblară|şi cubucurieseaceră6ceiîmblătoriîmblarăşi isimmmmmsimmmmmsimmsimmmmmmmsimmmmmsis
plînseră|aruncîndu|sămînţa plînserăaruncîndusămînţa immmmmmsimmmmmmmsimmmmms
sa|vinindu|venri-|vor savininduvenri-vor isimmmmmsimmmmsims
sale|cîntarea|pragurelor|126|1se|nu salecîntareapragurelor1261senu immsimmmmmmsimmmmmmmmsimsimsis
a|vrut|dumnedzeu|clădi|casa|în|deşert avrutdumnedzeuclădicasaîndeşert cimmsimmmmmmmsimmmsimmsisimmmms
trudiră-se|dziditorii|se trudiră-sedziditoriise immmmmmmmsimmmmmmmmsis
nu|domnul|străjuire|cetatea nudomnulstrăjuirecetatea isimmmmsimmmmmmmsimmmmms
în|deşert|preveaghe|străjuitoriul|2în îndeşertpreveaghestrăjuitoriul2în isimmmmsimmmmmmmsimmmmmmmmmmmsims
deşert|e|voo|a|mînreca|sculaţi deşertevooamînrecasculaţi immmmscimscimmmmmsimmmmms
după|şedeare|cei|ce|aţi|mîncat|pînre dupăşedeareceiceaţimîncatpînre immsimmmmmsimsisimsimmmmsimmms
lîngoriei|cînd|au lîngorieicîndau immmmmmmsimmsis
dat|iubiţilor|săi|somnu datiubiţilorsăisomnu imsimmmmmmmsimsimmms
plata|rroada|pîntecelui|4ca|săgeatele|în platarroadapîntecelui4casăgeateleîn immmsimmmmsimmmmmmmmsimsimmmmmmmsis
mînrule|tarelui|aşea|feciorii|cei|scoşi|5ferice mînruletareluiaşeafecioriiceiscoşi5ferice immmmmsimmmmmsimmsimmmmmmsimsimmmsimmmmms
ceia|ce|vor ceiacevor immsisims
împlea|pohta|sa|de împleapohtasade immmmsimmmsisis
sfii|cîndu|va|grăi|vrăjimaşilor|săi sfiicînduvagrăivrăjimaşilorsăi immsimmmsisimmsimmmmmmmmmmsims
den|uşe|cîntare|a|pragurelor|127|1ferice denuşecîntareapragurelor1271ferice imsimsimmmmmscimmmmmmmmsimsimmmmms
de|toţi|cinre detoţicinre isimmsimmms
se|teame|de|domnul seteamededomnul isimmmsisimmmms
ce|îmblă|în|calea|lui ceîmblăîncalealui isimmmsisimmmsims
2truda|rroadeei|sale|mînca-veri|fericat|eşti 2trudarroadeeisalemînca-verifericateşti immmmsimmmmmmsimmsimmmmmmmmsimmmmmsimms
şi|binre-ţi|va|fi|3muiarea|ta|ca şibinre-ţivafi3muiareataca isimmmmmmsisisimmmmmmsisis
feciorii|tăi|ca|de|noi fecioriităicadenoi immmmmmsimsisisims
odraslele|maslinului|denpregiurul|measei|tale|4adecă odraslelemaslinuluidenpregiurulmeaseitale4adecă immmmmmmsimmmmmmmmsimmmmmmmmmmsimmmmsimmsimmmms
aşea|blagoslovi-se-va|omul|carele|se|teame|de aşeablagoslovi-se-vaomulcareleseteamede immsimmmmmmmmmmmmmmsimmsimmmmsisimmmsis
domnul|5blagoslovi-te-va|domnul domnul5blagoslovi-te-vadomnul immmmsimmmmmmmmmmmmmmmsimmmms
vedea|bunrătatea|ierusalimului|întru|toate vedeabunrătateaierusalimuluiîntrutoate immmsimmmmmmmmsimmmmmmmmmmmsimmmsimmms
dzilele|viiaţeei|tale|6şi|veri|videa dzileleviiaţeeitale6şiverividea immmmmsimmmmmmsimmsimsimmsimmms
feciorii|feciorilor|tăi|pace|pre|israilii|cîntarea fecioriifeciorilortăipacepreisrailiicîntarea immmmmmsimmmmmmmmsimsimmsimsimmmmmmsimmmmmms
multe|ori|se|luptară multeoriseluptară immmsimsisimmmmms
cu|menre|se|dzică|israil cumenresedzicăisrail isimmmsisimmmsimmmms
acmu|2de|multe|ori|luptară-se|cu acmu2demulteoriluptară-secu immsimsimmmsimsimmmmmmmmsis
spinrarea|mea|lucrară|păcătoşii spinrareamealucrarăpăcătoşii immmmmmmsimsimmmmmsimmmmmmms
delungară|farădeleagea|sa|4domnulu|e delungarăfarădeleageasa4domnulue immmmmmmsimmmmmmmmmmsisimmmmmmsc
dereptu|tăia-va|cerbicea|greaşnicilor|5se|sfiască-se dereptutăia-vacerbiceagreaşnicilor5sesfiască-se immmmmsimmmmmsimmmmmmsimmmmmmmmmmsimsimmmmmmmms
sionulu|6se|fie sionulu6sefie immmmmsimsims
ca|iarba|la|tămăduire caiarbalatămăduire isimmmsisimmmmmmms
aceaia|ainte|de|covrag|şi aceaiaaintedecovragşi immmmsimmmsisimmmmsis
seacă|7di-nsa|nu-și|împlu|mînru|sale seacă7di-nsanu-șiîmplumînrusale immmsimmmmmsimmmsimmmsimmmsimms
pre|voi|blagoslovimu-vă|în|numele prevoiblagoslovimu-văînnumele imsimsimmmmmmmmmmmmmsisimmmms
pragurelor|129|1den|luontru|chemaiu|cătră|ti pragurelor1291denluontruchemaiucătrăti immmmmmmmsimsimmsimmmmmsimmmmmsimmmsis
nre|doamne|2doamne nredoamne2doamne imsimmmmsimmmmms
audzi|glasul|mieu|fi-ţi audziglasulmieufi-ţi immmsimmmmsimmsimmms
urechile|tale|luînd|glasulu|rrugilor urechiletaleluîndglasulurrugilor immmmmmsimmsimmmsimmmmmsimmmmmms
meale|3se|fărădelege|previşi|doamne|doamne meale3sefărădelegeprevişidoamnedoamne immmsimsimmmmmmmmsimmmmmsimmmmsimmmms
cinre|va|opri|4că|de|la|tinre cinrevaopri4cădelatinre immmsisimmsimsisisimmms
curăţie|iaste|dereptu curăţieiastedereptu immmmmsimmmsimmmmms
numele|tău|rrebdaiu-te|doamne numeletăurrebdaiu-tedoamne immmmsimsimmmmmmmmmsimmmms
rrebdă|sufletul|mieu|în|cuvîntul rrebdăsufletulmieuîncuvîntul immmmsimmmmmmsimmsisimmmmmms
tău|5nedejdi|sufletul|mieu|pre|domnul tău5nedejdisufletulmieupredomnul imsimmmmmmsimmmmmmsimmsimsimmmms
6de|strajea|demenreţiei|pînră|noapte|den|strajea 6destrajeademenreţieipînrănoaptedenstrajea imsimmmmmsimmmmmmmmmsimmmsimmmmsimsimmmmms
demenreţiei|se|pedejdască demenreţieisepedejdască immmmmmmmmsisimmmmmmmms
israil|pre|dumnedzeu|7că israilpredumnedzeu7că immmmsimsimmmmmmmsims
de|la|dumnedzeu|e|mila deladumnedzeuemila isisimmmmmmmscimms
multă|de|la|dins|mîntuirea|8şi multădeladinsmîntuirea8şi immmsisisimmsimmmmmmmsims
acela|mîntui-va|israil|de|toate|fărălegile|lui acelamîntui-vaisraildetoatefărălegilelui immmsimmmmmmmsimmmmsisimmmsimmmmmmmmsims
cîntarea|pragurelor|130 cîntareapragurelor130 immmmmmsimmmmmmmmsims
1doamne|nu|se|înrălţă 1doamnenuseînrălţă immmmmsisisimmmmms
înrima|mea|nece|se|înrălţară înrimameaneceseînrălţară immmmsimsimmsisimmmmmmms
mari|nece|în|mai|ciudaţi|de|menre marineceînmaiciudaţidemenre immsimmsisimsimmmmmsisimmms
2se|nu|smerit 2senusmerit imsisimmmms
înţeleşu|ce|înrălţaiu|sufletul înţeleşuceînrălţaiusufletul immmmmmsisimmmmmmmsimmmmmms
mieu|ca|aplecatul|cătră|mumă-sa mieucaaplecatulcătrămumă-sa immsisimmmmmmmsimmmsimmmmms
că|veri|da|pre|sufletul|mieu căveridapresufletulmieu isimmsisimsimmmmmmsimms
şi|pînră|în şipînrăîn isimmmsis
veac|cîntec|de|a veaccîntecdea immsimmmmsisc
pragurelor|131|1pomeneaşte|doamne|david pragurelor1311pomeneaştedoamnedavid immmmmmmmsimsimmmmmmmmmsimmmmsimmms
giură|domnului|şi|făgădui-se|lu|dumnedzeu|a giurădomnuluişifăgădui-seludumnedzeua immmsimmmmmmsisimmmmmmmmsisimmmmmmmsc
lu|iacov|3se luiacov3se isimmmsims
caseei|meale|sau|se-aşu|sui caseeimealesause-aşusui immmmsimmmsimsimmmmsims
în|patul|mieu|4se-aşu|da|somnu înpatulmieu4se-aşudasomnu isimmmsimmsimmmmmsisimmms
rrăpaos|cliucirelor|meale rrăpaoscliucirelormeale immmmmsimmmmmmmmmsimmms
pînră|voiu|afla|locul pînrăvoiuaflalocul immmsimmsimmsimmms
lu|dumnedzău|satul|dumnedzeului|lu ludumnedzăusatuldumnedzeuluilu isimmmmmmmsimmmsimmmmmmmmmmsis
iacovliu|6|se|sliș|adecă|o iacovliu6seslișadecăo immmmmmscisimmsimmmsc
audzim|în|efranthu|aflămu-o|în|cîmpii|dumbravilor audzimînefranthuaflămu-oîncîmpiidumbravilor immmmsisimmmmmmsimmmmmmsisimmmmsimmmmmmmmms
7întra-vrem|în|satul 7întra-vremînsatul immmmmmmmmsisimmms
8învii|doamne|în|rrăpausulu|tău|tu 8înviidoamneînrrăpausulutăutu immmmsimmmmsisimmmmmmmmsimsis
secriniul|sfinţiei|tale|9sfintitorii|tăi|înveaşte-se-vor|în secriniulsfinţieitale9sfintitoriităiînveaşte-se-vorîn immmmmmmsimmmmmmsimmsimmmmmmmmmmsimsimmmmmmmmmmmmmsis
şerbu|tău|nu|întoarce|faţa şerbutăunuîntoarcefaţa immmsimsisimmmmmmsimms
ta|de|la|unsul|tău|11giuratu-s-au tadelaunsultău11giuratu-s-au isisisimmmsimsimmmmmmmmmmmms
domnul|lu|davidu|adevăr|şi|nu|s-au domnulludaviduadevărşinus-au immmmsisimmmmsimmmmsisisimms
lepădat|de|acea lepădatdeacea immmmmsisimms
de|rroada|voiu|pîntecelui derroadavoiupîntecelui isimmmmsimmsimmmmmmmms
tău|punre|pre|scaunul|tău tăupunreprescaunultău imsimmmsimsimmmmmsims
12se|ară|ţinrea|feciorii|tăi|mărturiia 12searăţinreafecioriităimărturiia immsimsimmmmsimmmmmmsimsimmmmmmms
vecie|şedea-vor|pre|scaunul|tău vecieşedea-vorprescaunultău immmsimmmmmmmsimsimmmmmsims
13că|au|ales|domnul|sionul|iubi-l 13căaualesdomnulsionuliubi-l immsisimmsimmmmsimmmmsimmmms
în|viaţă-sa|14adecă|rrăpausul|mieu|în|veacii înviaţă-sa14adecărrăpausulmieuînveacii isimmmmmmsimmmmmsimmmmmmmsimmsisimmmms
veacului|acicea|me veaculuiaciceame immmmmmsimmmmsis
voiu|muta|că-l|iubiiu voiumutacă-liubiiu immsimmsimmsimmmms
measerii|lui|sătura-i-voiu|de|pînre|16sfintitorii measeriiluisătura-i-voiudepînre16sfintitorii immmmmmsimsimmmmmmmmmmmsisimmmsimmmmmmmmmmms
lui|înveaşte-i-voiu|în|spăsenie|şi|cuviioşii|lui luiînveaşte-i-voiuînspăsenieşicuviioşiilui imsimmmmmmmmmmmmmsisimmmmmmsisimmmmmmmsims
cu|bucurie|bucura-se-vor cubucuriebucura-se-vor isimmmmmsimmmmmmmmmmms
lu|david|gătiiu|luminrătoriu|unsului ludavidgătiiuluminrătoriuunsului isimmmsimmmmsimmmmmmmmmmsimmmmms
e|pre|acela|înfluri-va|sfinţia|mea|cîntecul epreacelaînfluri-vasfinţiameacîntecul cimsimmmsimmmmmmmmsimmmmmsimsimmmmmms
pragurelor|132|1adecă pragurelor1321adecă immmmmmmmsimsimmmms
acmu|ce|e|binre acmuceebinre immsiscimmms
sau|ce|e|frumos|numai sauceefrumosnumai imsiscimmmmsimmms
se|vie|ca|fraţi|depreunră|2ca seviecafraţidepreunră2ca isimsisimmmsimmmmmmmsims
mirul|pre|capul|se|deştingă|pre|barba mirulprecapulsedeştingăprebarba immmsimsimmmsisimmmmmmsimsimmms
în|barba|lu înbarbalu isimmmsis
tivitura|veşmientelor|a|lui|3ca tivituraveşmienteloralui3ca immmmmmsimmmmmmmmmmscimsims
rroa|iermonului|ce|deştinge|pre|dealurile rroaiermonuluicedeştingepredealurile immsimmmmmmmmsisimmmmmmsimsimmmmmmms
sionului|că|acie|dzise|dumnedzeu|viaţă|pînră sionuluicăaciedzisedumnedzeuviaţăpînră immmmmmsisimmsimmmsimmmmmmmsimmmsimmms
în|veacu|1adecă înveacu1adecă isimmmsimmmms
acmu|blagosloviţi|domnulu|toţi acmublagosloviţidomnulutoţi immsimmmmmmmmmmsimmmmmsimms
şerbii|lu|dumnedzău|cîţi|staţi şerbiiludumnedzăucîţistaţi immmmsisimmmmmmmsimmsimmms
în|curtea|caseei|dumnedzeului|nostru|2nopţile încurteacaseeidumnedzeuluinostru2nopţile isimmmmsimmmmsimmmmmmmmmmsimmmmsimmmmmms
domnulu|den|sion domnuludension immmmmsimsimms
cel|ce|feace|ceriul celcefeaceceriul imsisimmmsimmmms
şi|pămîntul|slava|şedearea|a şipămîntulslavaşedeareaa isimmmmmmsimmmsimmmmmmsc
noaospredzeace|lăudăm|134|1lăudaţi|numele|domnului noaospredzeacelăudăm1341lăudaţinumeledomnului immmmmmmmmmmmsimmmmsimsimmmmmmsimmmmsimmmmmms
2carii|stau|în|casa|domnului|în|curtea 2cariistauîncasadomnuluiîncurtea immmmsimmsisimmsimmmmmmsisimmmms
caseei|domnului|nostru caseeidomnuluinostru immmmsimmmmmmsimmmms
3lăudaţi|domnulu|că|e 3lăudaţidomnulucăe immmmmmsimmmmmsisc
bunru|domnulu|cîntaţi|numelui|al bunrudomnulucîntaţinumeluial immmsimmmmmsimmmmmsimmmmmsis
lui|că|e|bunru|4că|iacov luicăebunru4căiacov imsiscimmmsimsimmms
alease-l|şie|domnul|şi|israil|parte|şie alease-lşiedomnulşiisrailparteşie immmmmmsimsimmmmsisimmmmsimmmsims
5că|eu|cunoscuiu 5căeucunoscuiu imsisimmmmmmms
că|e|mai|mare căemaimare iscimsimms
prespre|toţi|dumnedzeei|6toate|cîte|a prespretoţidumnedzeei6toatecîtea immmmmsimmsimmmmmmmmsimmmmsimmsc
vrut|domnul|faptu-le-au|în|ceriu|şi|pre vrutdomnulfaptu-le-auînceriuşipre immsimmmmsimmmmmmmmmsisimmmsisims
pămînt|în|mare pămîntînmare immmmsisimms
şi|toate|beznele|7scoate şitoatebeznele7scoate isimmmsimmmmmsimmmmms
nuorii|denrapoia|pămîn|fulgerul|în nuoriidenrapoiapămînfulgerulîn immmmsimmmmmmmsimmmsimmmmmmsis
ploaie-l|feace|scoate|vînturile|den|vistiarele ploaie-lfeacescoatevînturiledenvistiarele immmmmmsimmmsimmmmsimmmmmmmsimsimmmmmmmms
la|om|pînră laompînră isisimmms
în|vită|9tremease|seamne învită9tremeaseseamne isimmsimmmmmmmsimmmms
şi|ciudese|în|mijloc|de şiciudeseînmijlocde isimmmmmsisimmmmsis
tinre|eghipte|pre|faraon|şi|toţi tinreeghipteprefaraonşitoţi immmsimmmmmsimsimmmmsisimms
şerbii|lui|10cela|ce|pierdu|limbi|multe şerbiilui10celacepierdulimbimulte immmmsimsimmmmsisimmmmsimmmsimmms
şi|ucise|împăraţi şiuciseîmpăraţi isimmmsimmmmmms
i|oga|împăratul|vaseiului|şi iogaîmpăratulvaseiuluişi cimsimmmmmmmsimmmmmmmsis
toată|împărăţia|hanaanului|12şi|deade|pămîntul toatăîmpărăţiahanaanului12şideadepămîntul immmsimmmmmmmsimmmmmmmmsimmsimmmsimmmmmms
lor|parte|partea|lu|israil|oamenrilor|săi lorpartepartealuisrailoamenrilorsăi imsimmmsimmmmsisimmmmsimmmmmmmmsims
13doamne|numele|tău 13doamnenumeletău immmmmmsimmmmsims
e|în|vecie|şi eînvecieşi cisimmmsis
pomeana|ta|pre|gintul|ginturelor pomeanatapregintulginturelor immmmmsisimsimmmmsimmmmmmmms
14că|va|giudeca|domnul|oamenrilor|săi 14căvagiudecadomnuloamenrilorsăi immsisimmmmmsimmmmsimmmmmmmmsims
şi|de|şerbii|săi|milă-i|e|15boluanii şideşerbiisăimilă-ie15boluanii isisimmmmsimsimmmmscimmmmmmmms
aur|lucru|de|mînră aurlucrudemînră imsimmmsisimmms
omenrească|rrost|au|şi|nu omenreascărrostauşinu immmmmmmmsimmmsisisis
grăiesc|ochii|au|şi|nu|vădu grăiescochiiauşinuvădu immmmmsimmmsisisisimms
e|abur|în eaburîn cimmsis
rrostul|lor|17soţi|se rrostullor17soţise immmmmsimsimmmmsis
le|fie|cinre-i|face|şi lefiecinre-ifaceşi isimsimmmmmsimmsis
toţi|cinre|credu|pri-nşii|18casa|lu toţicinrecredupri-nşii18casalu immsimmmsimmmsimmmmmmsimmmmsis
israil|binre-grăiţi|de|domnul|casa|lu|aaron israilbinre-grăiţidedomnulcasaluaaron immmmsimmmmmmmmmmsisimmmmsimmsisimmms
cei|ce|se|tem ceicesetem imsisisims
de|domnul|blagosloviţi|domnul|20blagoslovitu dedomnulblagosloviţidomnul20blagoslovitu isimmmmsimmmmmmmmmmsimmmmsimmmmmmmmmmmms
e|domnul|den|sion|ce|vie edomnuldensioncevie cimmmmsimsimmsisims
în|ierusalim|lăudăm|domnul|135|1ispovediţi-vă|domnului înierusalimlăudămdomnul1351ispovediţi-vădomnului isimmmmmmmsimmmmsimmmmsimsimmmmmmmmmmmmsimmmmmms
că|e|bunru căebunru iscimmms
că|în|veaci|e căînveacie isisimmmsc
mila|a|lui|2ispovediţi-vă|dumnedzeului milaalui2ispovediţi-vădumnedzeului immscimsimmmmmmmmmmmmsimmmmmmmmmms
lui|3spunreţi-vă|domnului|dumnedzeilor|că|în|veaci lui3spunreţi-vădomnuluidumnedzeilorcăînveaci imsimmmmmmmmmmsimmmmmmsimmmmmmmmmmsisisimmms
e|domnia|lui edomnialui cimmmmsims
4făcătoriului|ciudelor|mari|singur 4făcătoriuluiciudelormarisingur immmmmmmmmmmsimmmmmmsimmsimmmms
că|în|veaci|e|mila căînveaciemila isisimmmscimms
lui|5celui|ce|feace|ceriul|cu lui5celuicefeaceceriulcu imsimmmmsisimmmsimmmmsis
mintea|că|e|în|veaci|mila|lui minteacăeînveacimilalui immmmsiscisimmmsimmsims
6cel|ce|întări 6celceîntări immsisimmmms
pămîntul|pre|apă|că pămîntulpreapăcă immmmmmsimsimsis
însuşi|că|în|veaci|e|mila|lui însuşicăînveaciemilalui immmmsisisimmmscimmsims
8soarele|în|putearea 8soareleînputearea immmmmmsisimmmmmms
dzileei|că|în|veaci dzileeicăînveaci immmmmsisisimmms
e|mila|lui|9lunra|şi emilalui9lunraşi cimmsimsimmmmsis
stealele|în|putearea|nopţiei|că|în stealeleînputeareanopţieicăîn immmmmmsisimmmmmmsimmmmmsisis
veaci|e|mila|lui|10celui|ce|pierdu veaciemilalui10celuicepierdu immmscimmsimsimmmmmsisimmmms
ieghiptul|cu|întînii ieghiptulcuîntînii immmmmmmsisimmmmms
lui|că|e|în luicăeîn imsiscis
veaci|domnia|lui|12cu|mînra veacidomnialui12cumînra immmsimmmmsimsimmsimmms
lui|cea|tare|şi|cu|braţul luiceatareşicubraţul imsimsimmsisisimmmms
lui|13celui|ce lui13celuice imsimmmmmsis
au|împărţit|marea|neagră auîmpărţitmareaneagră isimmmmmmsimmmsimmmms
într-îmbe|parţile|că|e|în într-îmbeparţilecăeîn immmmmmmsimmmmmsiscis
veaci|mila|lui|14şi|acelui|ce veacimilalui14şiaceluice immmsimmsimsimmsimmmmsis
a|dus|israilii|pre|mijloc|de|ea adusisrailiipremijlocdeea cimsimmmmmmsimsimmmmsisis
e|mila|lui|15celui emilalui15celui cimmsimsimmmmms
ce|au|scuturat|faraon|şi ceauscuturatfaraonşi isisimmmmmmsimmmmsis
sila|lui|în|marea|neagră|că silaluiînmareaneagrăcă immsimsisimmmsimmmmsis
e|în|veaci|mila|lui|16cel|ce eînveacimilalui16celce cisimmmsimmsimsimmmsis
purtă|oamenrii|săi purtăoamenriisăi immmsimmmmmmsims
în|pustinie|că|e înpustiniecăe isimmmmmmsisc
în|veaci|mila|lui|17celui înveacimilalui17celui isimmmsimmsimsimmmmms
ce|pierdu|împăratul|cel|mare|că cepierduîmpăratulcelmarecă isimmmmsimmmmmmmsimsimmsis
în|veaci|e|mila|lui|18şi|celui înveaciemilalui18şicelui isimmmscimmsimsimmsimmms
ce|ucisă|împăratul ceucisăîmpăratul isimmmsimmmmmmms
tare|că|în|veaci tarecăînveaci immsisisimmms
amoreiului|că|în|veaci|e|mila amoreiuluicăînveaciemila immmmmmmmsisisimmmscimms
lui|20i|oga|împăratul|vaseiului|că|în lui20iogaîmpăratulvaseiuluicăîn imsimsimsimmmmmmmsimmmmmmmsisis
veaci|e|mila veaciemila immmscimms
pămîntul|lor|parte|că|în pămîntullorpartecăîn immmmmmsimsimmmsisis
israil|şerbului|său|că|e|în|veaci israilşerbuluisăucăeînveaci immmmsimmmmmmsimsiscisimmms
mila|lui|23că milalui23că immsimsimms
în|smerenia|noastră|pomeni-ne însmerenianoastrăpomeni-ne isimmmmmmsimmmmmsimmmmmmms
mila|lui|24izbăvitu-ne-au|de|vrăimaşii|noştri milalui24izbăvitu-ne-audevrăimaşiinoştri immsimsimmmmmmmmmmmmmmsisimmmmmmmsimmmms
că|în|veaci|e|mila|lui|25dat-au căînveaciemilalui25dat-au isisimmmscimmsimsimmmmmms
hrană|a|toată hranăatoată immmscimmms
peliţa|că|e|în peliţacăeîn immmmsiscis
veaci|mila|lui|26ispovediţi-vă|dumnedzeului veacimilalui26ispovediţi-vădumnedzeului immmsimmsimsimmmmmmmmmmmmmsimmmmmmmmmms
ceriului|că|e|în|veaci|mila ceriuluicăeînveacimila immmmmmsiscisimmmsimms
lui|cîntarea|lui|david|de|la|eremiianu luicîntarealuidaviddelaeremiianu imsimmmmmmsimsimmmsisisimmmmmmms
rriul|vavilonului|aciia|şedzum rriulvavilonuluiaciiaşedzum immmsimmmmmmmmmsimmmsimmmms
şi|plînsem|că|pomenim|noi şiplînsemcăpomenimnoi isimmmmmsisimmmmmsims
sionul|2în|salce|în|mijlocul|ei sionul2însalceînmijloculei immmmsimsimmmsisimmmmmmsis
spîndzurăm|orgoanele|noastre|3că|acolo|întrebară-ne|cei spîndzurămorgoanelenoastre3căacoloîntrebară-necei immmmmmmmsimmmmmmmsimmmmmsimsimmmsimmmmmmmmmmsims
ce|ne|prădară ceneprădară isisimmmmms
cuvente|de|a|cîntecelor cuventedeacîntecelor immmmmsiscimmmmmmmms
4cum|vrem|cînta|cîntecul|lu|domnedzău 4cumvremcîntacînteculludomnedzău immsimmsimmmsimmmmmmsisimmmmmmms
pre|pămînt|striinru|5se|aşu|uita|tinri prepămîntstriinru5seaşuuitatinri imsimmmmsimmmmmmsimsimsimmsimmms
